treatment,species,a.an,a.s,a.p,lambda,seed.surv,seed.germ,stem.surv
wet,an,0.02,0.001,0.1,40,0,0.8,
wet,s,0.02,0.001,0.1,0,0,0.3,0.3
wet,p,0.002,0,0.12,200,,,0.97
dry,an,0.02,0.001,0.1,5,0,0.8,
dry,s,0.02,0.001,0.1,0,0,0.3,0.1
dry,p,0.002,0,0.12,50,,,0.91
