treatment,species,a.an,a.s,a.p,lambda,seed.surv,seed.germ,stem.surv
wet,an,0.01,0.0005,0.05,40,0,0.8,
wet,s,0.01,0.0005,0.05,0,0,0.3,0.3
wet,p,0.001,0,0.06,200,,,0.97
dry,an,0.03,0.0015,0.15,5,0,0.8,
dry,s,0.03,0.0015,0.15,0,0,0.3,0.1
dry,p,0.003,0,0.18,50,,,0.91
