"","treatment","species","aiA","aiE","lambda"
"1","consistentDry","Avena",0.0180950657170743,0.0145290278826677,12.1839425506809
"2","consistentDry","Erodium",0.00717090518118237,0.281185895934729,23.2487880220104
"3","controlRain","Avena",0.0239294714874093,0,21.265098869
"4","controlRain","Erodium",0.0345786343260567,0.00627616965695512,1.0642672164845
