treatment,species,a.an,a.s,a.p,lambda,seed.surv,seed.germ,stem.surv
wet,an,0.023929471,0.005,0.1,21.265099,0,0.9,
wet,s,0.02,0.001,0.001,0,0,0.35,0.2
wet,p,0.001,0,0.05,100,,,0.97
dry,an,0.018095066,0.001,0.05,12.183943,0,0.9,
dry,s,0.01,0.001,0.001,0,0,0.35,0.02
dry,p,0.001,0,0.05,30,,,0.91
